date;x;y;z
1573728303437;-5.110992486;-2.428398852;-5.075450479
1573728303447;-5.146073194;-3.459685329;-10.81775536
1573728303457;-4.40799358;-4.146808627;-9.527608985
1573728303467;-0.032775708;-4.129560091;1.357126836
1573728303477;1.352839583;-3.395585329;1.913137606
1573728303487;1.572604174;-2.992280412;1.438572734
1573728303496;1.457280942;-2.409147206;1.212149691
1573728303507;1.702125889;-1.881349137;3.222184905
1573728303517;0.442327289;-0.784903376;2.608393676
1573728303527;0.124018471;-0.183558916;0.508456999
1573728303537;0.758099099;-0.376690654;-1.294075232
1573728303547;0.529864804;-0.393289779;-1.050583073
1573728303557;-0.066440662;-0.283986071;-0.442071314
1573728303567;-0.466870565;-0.043313964;0.32055016
1573728303577;-0.771891657;0.149223341;0.838709987
1573728303587;-0.525575974;0.012118541;0.333864432
1573728303597;-0.144648726;-0.005628043;-0.131303707
1573728303607;-0.115718981;0.378569465;-1.591363318
1573728303619;-0.383710114;0.885125622;-1.732777363
1573728303627;-0.521488546;1.183110416;-1.049118333
1573728303637;-0.754294489;1.176331472;0.14137035
1573728303647;-0.64940422;0.603961906;1.614739652
1573728303657;-0.565492099;0.176711243;0.970010944
1573728303667;-0.804820113;0.340567145;-0.112718909
1573728303677;-0.996282619;0.946660259;-0.289372706
1573728303687;-1.318004451;1.569441397;0.672552376
1573728303698;-0.502779453;1.071678606;1.733227371
1573728303707;-0.111088538;0.796051381;1.784977054
1573728303717;-1.038890094;0.989268015;0.186827545
1573728303727;-0.754497696;1.097871931;-0.632005402
1573728303739;-0.067296925;1.200077941;-0.99593683
1573728303747;-0.05383754;1.036676732;-0.781426588
1573728303757;-2.203597643;0.890633653;-0.471912367
1573728303767;-2.559668428;0.651214655;-0.362207018
1573728303777;-2.139671998;0.367742965;0.215889817
1573728303787;-1.389956822;0.401454503;0.172711854
1573728303797;0.021928128;-0.061908297;-1.072338908
1573728303808;0.446583793;-0.585828059;-0.965131357
1573728303818;0.464527166;-0.974317355;-0.235803902
1573728303827;2.302305918;-0.810099636;0.470241213
1573728303837;2.914447102;0.164033481;0.023766442
1573728303847;3.082379319;0.882048471;-0.425350679
1573728303857;2.818329937;0.981450544;-0.784644376
1573728303867;2.821610933;1.030326451;-0.980141982
1573728303877;1.920185189;1.161365195;-0.063937723
1573728303887;1.107107147;1.450069939;0.638379932
1573728303897;0.456644785;2.615730695;1.169588185
1573728303907;0.365315828;2.659530967;1.318742924
1573728303917;0.552741816;2.403438067;1.054994339
1573728303927;0.763974182;1.846136074;-0.581033425
1573728303937;1.729750341;0.388983139;-5.260891594
1573728303947;1.889455752;-0.899322217;-4.285327655
1573728303957;1.802699436;-2.205778269;-2.508888802
1573728303967;0.951827136;-2.867870449;-0.873217075
1573728303977;-1.582940664;-3.167701052;1.875672007
